Texto, Usuario, Fecha_creacion
Claro<coma> porque estar en las calles<coma> sin trabajo<coma> sin techo<coma> rechazados principalmente por la xenofobia de muchos CIU… https://t.co/wtzmHC428Q,@Iden8N,Fri Aug 21 21:28:36 +0000 2020
RT @reportersalles: Será que agora que a China recomendou o tratamento da COVID-19 com hidroxicloroquina ouviremos Mandetta pedindo desculp…,@bardelao,Fri Aug 21 21:28:37 +0000 2020
RT @atrupar: who could've seen this coming https://t.co/TuuxPK8SG7,@CindyLo47473437,Fri Aug 21 21:28:37 +0000 2020
RT @heybiji: consider: if you are actively trying not to bring any harm to others be it physical<coma> especially with COVID<coma> or emotional<coma> you…,@ashleyalyssa,Fri Aug 21 21:28:37 +0000 2020
RT @CBCNews: Berlin is struggling to contain COVID-19 outbreaks at education centres as 41 schools across the city report cases among stude…,@charlesmire,Fri Aug 21 21:28:37 +0000 2020
RT @BogdanovCCCP: Her gün Türkiye’de Covid-19 nedeniyle ölenlerin %20’si bizim hastanede öyleyse. https://t.co/fms9rsOe7T,@blaspherereion,Fri Aug 21 21:28:37 +0000 2020
Presidente ⁦@luisabinader⁩ encabeza relanzamiento programa Seguridad Ciudadana contra el Covid-19  https://t.co/GnkaCNGQFA,@juliopenag,Fri Aug 21 21:28:37 +0000 2020
RT @USAttyBash: Army and Border Patrol vet,@renflo86,Fri Aug 21 21:28:37 +0000 2020
RT @alcaldeledezma: MEDICOS<coma> ENFERMEROS<coma> TRABAJADORES DE LA SALUD.. MADURO LOS QUIERE MATAR DE HAMBRE<coma> ADEMÁS DEL CORONAVIRUS... Maduro otr…,@arenasel,Fri Aug 21 21:28:37 +0000 2020
RT @piersmorgan: This is incredibly powerful. Please take time to watch it. Britain is enriched by refugees like @hassan_akkad - not dimini…,@ArnaudStevins,Fri Aug 21 21:28:37 +0000 2020
RT @CJC98617496: US intel agencies find Wuhan officials kept Beijing in the dark for weeks about coronavirus https://t.co/NoqKirPetT. Where…,@oldbaldeagle,Fri Aug 21 21:28:37 +0000 2020
RT @benshapiro: Last night<coma> Joe Biden promised to: 1. End covid; 2. Prevent all threats<coma> seen and unseen; 3. End racism; 4. Never give you…,@TayMeg28,Fri Aug 21 21:28:37 +0000 2020
RT @benshapiro: Last night<coma> Joe Biden promised racial reconciliation<coma> political reconciliation<coma> and an end to covid. Wasn't he in the gover…,@Barbiemacs1,Fri Aug 21 21:28:37 +0000 2020
RT @BAYRONZAPATAMA1: EL CENTRO DEMOCRÁTICO DESTRUYE A LOS COLOMBIANOS . NEGOCIO NARCOPARAMILITAR CON LICENCIA PARA MATAR Y ROBAR . ASESINOS…,@samuelricardol,Fri Aug 21 21:28:37 +0000 2020
@TimRyan I am a jewelry designer that sells on Etsy. The USPS is the most affordable shipping for me. Covid has shu… https://t.co/I5G98xnyZx,@simpleelements,Fri Aug 21 21:28:37 +0000 2020
RT @ASlavitt: BREAKING: White House takes away FDA authority to regulate COVID tests. It’s August<coma> de-regulating &amp; politically meddling are…,@iamforeverblue2,Fri Aug 21 21:28:37 +0000 2020
RT @niggligg: step 1: invite socially starved 18 year olds to campus  step 2: let them spread covid on campus and in dorms  step 3: blame 1…,@bootlegjesus_,Fri Aug 21 21:28:37 +0000 2020
RT @Rugasdeconje: O problema do Brasil é o aumento do salário do servidor público que trabalha na linha de frente do combate à Covid<coma>  viu…,@BrandaoGueiros,Fri Aug 21 21:28:37 +0000 2020
RT @MMContesti: Y que lo digas<coma> Andrea. Hay que regenerar el partido.,@pacoquique,Fri Aug 21 21:28:37 +0000 2020
RT @Mippcivzla: 🗣️ ¡LA VERDAD DE VENEZUELA! 🇻🇪  Venezolanos que superaron la COVID-19 cuentan sus historias. #VenezuelaDignaYAntiimperialis…,@SophiaVeria,Fri Aug 21 21:28:37 +0000 2020
RT @ConElMazoDando: CNE inició jornada de desinfección de oficinas regionales (+ Covid-19) https://t.co/J8kHHg1xdQ  #ElRegresoDelNecio #Ven…,@Eli20Mar,Fri Aug 21 21:28:37 +0000 2020
RT @srdjl: Kod 11-ogodišnje pacijentkinje<coma> sa registrovanim MIS-C (novi entitet koji obuhvata multisistemski inflamatorni sindrom<coma> tj. SIRS…,@Nataa37601352,Fri Aug 21 21:28:37 +0000 2020
@BarillariDav Questo è un Tweet che viene dal futuro<coma> notare che siamo arrivati al Covid-1984!!11 Barillari<coma> sei troppo avanti per noi,@Germarzia,Fri Aug 21 21:28:37 +0000 2020
**This segment was recorded before the COVID-19 pandemic**,@WolvSportsTV,Fri Aug 21 21:28:37 +0000 2020
RT @Kinsellas: Shilton has noticed that Botham got a peerage. https://t.co/NrLUeyRXir,@TrevorTurvey1,Fri Aug 21 21:28:37 +0000 2020
Damn this disease!!! 🤬🤬🤬  https://t.co/rzHwMBlxo3,@Phoenix85163700,Fri Aug 21 21:28:37 +0000 2020
@TheScottCharles Looks like COVID-19 has nailed down the 3rd leading cause of death slot for 2020. But it's just li… https://t.co/SXcXObShM5,@phil_luttazi,Fri Aug 21 21:28:37 +0000 2020
Seriously? I can’t speak for The Society because I never watched it but are they really going to axe IANOWT on a cl… https://t.co/5l3QJ52Qme,@BigBrother1988,Fri Aug 21 21:28:37 +0000 2020
RT @FrancescoLari: Even hospital numbers are fake in the UK. If you had the virus in April and break a leg now you are counted as "Covid pa…,@Amalit4,Fri Aug 21 21:28:37 +0000 2020
RT @niggligg: step 1: invite socially starved 18 year olds to campus  step 2: let them spread covid on campus and in dorms  step 3: blame 1…,@TheJR31,Fri Aug 21 21:28:37 +0000 2020
RT @BCBRP: #Repost @criticapa Se requiere sangre O+ para Augusto Valiente<coma> quien se encuentra recluido en UCI del Complejo Hospitalario de…,@mmorenoc25,Fri Aug 21 21:28:37 +0000 2020
RT @cucagamarra: Nos ha dejado Jesús<coma> víctima del Covid-19 con tan solo 32 años<coma> era muy especial<coma> como vendimiador supo conquistarnos a to…,@lorenzopol1990,Fri Aug 21 21:28:37 +0000 2020
RT @javihdez: No consigo tardar &lt; de 20 minutos en vestirme<coma> historiar y explorar<coma> rellenar formularios Covid<coma> pedir PCR<coma> recoger exudado<coma>…,@famartinez2001,Fri Aug 21 21:28:37 +0000 2020
I forgot that Sleppy Creepy Joe said 120 million people died of Kung flu.. L O L,@DeloreanSWE,Fri Aug 21 21:28:37 +0000 2020
RT @elchico_de_ayer: He tenido la inmensa suerte de trabajar en el desarrollo de Radar COVID.  Os pido<coma> por favor<coma> que os descarguéis y usé…,@Juan_Agudo_,Fri Aug 21 21:28:37 +0000 2020
RT @niggligg: step 1: invite socially starved 18 year olds to campus  step 2: let them spread covid on campus and in dorms  step 3: blame 1…,@iversenmille,Fri Aug 21 21:28:37 +0000 2020
Hydroxychloroquine was dismissed as a covid treatment simply because Trump touted it. How many died because of Oran… https://t.co/F3C4sf36Q4,@ericinva,Fri Aug 21 21:28:37 +0000 2020
RT @LaylaMoran: I've written to the Prime Minister in my role as Chair of the Cross-Party Coronavirus Inquiry. Following over 1000 evidence…,@zbris6,Fri Aug 21 21:28:37 +0000 2020
RT @repubblica: Salvini visita i Rambo della Marina. Ma il sindacato accusa: "Non rispettate misure anti-covid" https://t.co/sICenWalti,@nicolettagiust1,Fri Aug 21 21:28:37 +0000 2020
La salud del país en la inteligencia de sus hijos  https://t.co/N0g2ODCdUA https://t.co/jENOs1tauy,@drmazav,Fri Aug 21 21:28:37 +0000 2020
Tuned in to @LupusLA Live with Immunologist  Dr.  Sherwin Hariri. He is discussing Impoetant role of Vitamin D leve… https://t.co/wwmsc3OcjI,@estelamata,Fri Aug 21 21:28:37 +0000 2020
RT @SamdGreat01: GRE requirements are waived for admissions till fall 2021. International students also have the option of not submitting T…,@Shafeeu_Anangi,Fri Aug 21 21:28:38 +0000 2020
RT @OtoniDepFederal: A China passou a adotar a Cloroquina no tratamento da Covid. E agora<coma> o que a mídia progressista vai dizer? Hoje não v…,@JorgeCa20557834,Fri Aug 21 21:28:38 +0000 2020
RT @RMConservative: The window to escape permanent tyranny is almost closed. #FightBack now. Wake up. Open your hearts and minds. How can p…,@CamilleSeymour2,Fri Aug 21 21:28:38 +0000 2020
